id,line
0,Те кто не нашёл счастья
1,Тем кто и не искал его
2,Тевтон как среди ястреб я
3,Те кто не кискал и вот
4,Тэйп дом и о том госпел
5,Текстов и басней слова
6,И оков бряцанье во сне
7,Иаков одобрял арестант
8,Монархи один из животной стадии эволюции на Луне
9,Закончив за цикл должны были начать новую историю ужаса на Земле
10,И начать здесь человеческую эволюцию
11,Они были теми имплантами которые Луна
12,Должна была передать Земле для дальнейшего развития
13,Тогда как сказано в легенде про 
14,Великие владыки дали приказ 
15,Падали звёзды падали
16,Капали слёзы капали
17,Падали звёзды падали
18,Надо ли плакать надо ли Ещё раз
19,Падали звёзды падали
20,Капали слёзы капали
21,Падали звёзды падали
22,Надо ли плакать кропали
23,Дерьмо кто расстрел жизни
24,Где токсик клеймо шизик
25,На трон взгромоздившись
26,Пляшет танец амбиций 
27,Белые зубы в темноту улыбка
28,Свет искреннечистый
29,Потом на амбразуру как Мисима
30,Спасибо но мы не мессия
31,Падали звёзды падали
32,Капали слёзы капали
33,Падали звёзды падали
34,Надо ли плакать надо ли Ещё раз
35,Друзья я хочу сказать я зашкварился Я зашкварился но не потому что батлюсь с ним щяс я объясню вам всё Еее
36,Привет Гене Rickey F Витале Alphavit Айо Пу Раа Айо
37,Я попросил биты помедленней 140 bpm
38,Ведь я не умею моргать тут быстрее чем Illumate
39,А ты словно Eminem белый негр на бите
40,Букер ДФред это значит на английском лохопед
41,Ёбаный ты бомж в прыщах всё лицо
42,Твое новое flow перечитает Эзоп даже
43,Ты хоть нажрись пирожков
44,Ты не молодой Чинаски ты Артур Пирожков
45,Кто виновенто что батл это просто пародия
46,Кто виновен то что каждый батлрепер юродивый
47,Я отвечу Это я я во всём виноват здесь ведь я батлю только с корешами Джубили Хованский
48,Они говорят я ноунэйм
49,Но жал ли вам руку Маликов
50,Мы знаем ответ
51,Versus Battle это топовая лига в стране
52,Ресторатор катит на Бимере вы на хуе
53,Obladaet обрыган
54,Loqiemean и Обе Ван батлят под одеялом ведь их там батлит павиан
55,Весь батлрэп трусливые бляди Fresh Blood полный пиздец
56,Вы всё проебали стыдно за это
57,Как было стыдно и в ноябре
58,И где же ваши бойцы
59,Гарри Топор Юбилей
60,И если это цирк вот вам топовый ход
61,Устройте баттл карликов Джарахов и Вова Гном
62,И только сам Оксимирон сам Оксимирон с небес спустился чтобы защитить свой батловый трон
63,Респуктуля носатый
64,Ты не забатлишь Галата но забатлишь на телеке Харламова и Бората
65,Что до Букера
66,Букер круче всех вас
67,Но я ебу Букера как старух у сберкасс
68,Как Старуха ебала Букера год назад
69,Молодая кровь идёт нахуй ведь я тут суперстар
70,Антихайп
71,Замай здесь настоящий не зашкваренный
72,Репосты правильные лайки лайки
73,Бля мне так это нравится
74,Бро Ёу Ёу Ёу
75,Замай старый хуй
76,Эй дедуля погоди ты залетел не в ту шалаву
77,Вышел батлить на биты и сразу прячешься под нары
78,В двух словах ты петушара
79,В трёх словах Замай ты петушара
80,Хочешь баттл но потёк от Хована как будто шава
81,Пишешь в Твиттер
82,Пишешь диссы
83,Хочешь бифа
84,Слышишь пидор
85,Старику надо медаль дать за то что он смог доехать
86,Прихожу ебать дедов в публичном доме престарелых
87,Когда батлишься боишься проебать вставную челюсть
88,А лицо будто хочет чтобы дали денег
89,Пенсионер расслабься
90,Попей чаёк с малиной
91,Ты хрипишь как мотоцикл что заправили ссаниной
92,Достаю клинок из сала как король Артур Хохол
93,Видел ты дрочил на видео где твёркал Фараон
94,Хотел сесть на трон но в итоге сел на кол
95,Ты можешь хвастаться победой но не можешь кадыком
96,И похуй на рифмы и шутки зая
97,Похуй поймётли народ из зала
98,Дэдэдэ дэдэдэ дэдэда ничего не понятно
99,Но всё равно лучше Замая
100,И похуй на рифмы и шутки зая
101,Похуй поймётли народ из зала
102,Дэдэдэ дэдэдэ дэдэда ничего не понятно
103,Но всё равно лучше Замая bitch
104,Давай погромче навали Или он всегда такой
105,Флиппать не буду ведь флипал Иуда
106,Айо йе
107,Ха Присядь недорэперок
108,Ядерный флоу тебе на третий раунд приберег
109,А пока поебу и без гандона
110,Без Вовы Гнома мне неудобно
111,Ну что Быть рэпером довольно тяжело
112,Но ты вырос в огороде не знаешь ведь ты же лох
113,Ты у реки в детстве репетитровал с камнем
114,Даже ассинезаторы тебя звали Skamом
115,Теперь ты лезешь в рэп как баран
116,Ты умен как Галатталант
117,В тебе группа Закат 10 пидоров
118,В моем лице тебя киргизы выебут
119,Бро ты крот Твой рот нора
120,У тебя там Depo широкий Boulevard
121,Такой графоман что Mnogoznaal
122,Знаешь кто Basic Boy сказал
123,Ты Basic Boy простой лошок
124,И на тебе блядь Glebasta спал
125,Я SlipahNeSpi Big Russian Boss
126,Мой Dopetape это white star
127,Злой негр я шлю нахуй твоего Степана Карму
128,У меня коверсамолет я Хан
129,Отправляйся к Блейзу педик на диван обратно
130,Во мне 5 бутылок водки ксанакс скитлз
131,В тебе 5 бутылок в жопе тебя ебала горилла
132,Блядь ты думал это шутки баттл со мной
133,Но тут не Иисус батлит сам Бог
134,Палицы рубят головы с плеч я тут Антихайп
135,И зашкваров король
136,Thomas Mraz врун и обманщик
137,Твои зашквары
138,Замай твои зашквары
139,Замай твои зашквары
140,Твои зашквары ХипХоп коллектор
141,Почему ты полагал что ХипХоп коллега
142,Я искал ХипХоп там ХипХопа нету
143,Стремные текста ХипХоп калека
144,Ты со мною в Antihype но в семье не без Замая
145,У тебя сердце встанет если ты так зачитаешь
146,Не из замка в замок а из жопы в рот
147,8 лет на вписке тебя ебет мой флоу
148,Сажаю на залупу как детей на карусель
149,Твои тексты публикуются в журнале Телесемь
150,Эй слышь пидор ты хрипел на биты
151,Они заболели СПИДом
152,Они пишут в комментах нахуй Букера
153,Знаешь зачем Тебе интересно
154,Они пишут в комментах на хуй Букера
155,Что бы Замай всегда знал свое место
156,Гладь своих чтоб чужие боялись 
157,Делаю это как профессионал
158,Дудь спросит тебя Что ты заработал в рэпе
159,Ты покажешь ему свой пробитый анал
160,Баттлишься чтоб потом фитовать 
161,Я зову тебя Rickey F
162,Но слышь дедок достаю свой ствол
163,Уберу тебя с двух нот Re Do
164,Ты зря на Гену навыебывался
165,Это все зря братан за своих стреляю в упор блядь
166,Гена мы с тобой Эйоу йе
167,Самый ненавидимый МЦ
168,Вылечу тебя от рэпа как Кагоцел
169,Ты не Янг Треппа ты Янг Триппер
170,Любишь бухать Моей спермы выпей лох
171,Нахуй ты здесь
172,Лучше б сажал нахуй детей
173,Как Окси прелюбодей
174,Но Окси респект а тебе нет
175,Я обманул ты как Варум 
176,Читаешь в хуй а я Агутин
177,Даже при людях ебу эту сучку 
178,Букера без прилюдий
179,Мой член твой последний пууть
180,О чел у меня огромный хуй
181,Я хочу чтобы наш батл судил Юрий Дудь
182,Чтобы под шумок потом Юрию вдуть
183,Да Хованскому
184,Бля буду ебать Хованского
185,Я так буду ебать Хованского
186,Что Хованскому это понравится
187,Он прибежит и попросит ещё
188,Марионетка ёбаный чёрт
189,Ебал тебя в рот вот и весь панч
190,Смысл простой как ёб твою мать Раа
191,Флоу Бога а у Ховы рот кокан
192,Смысл простой как ёб твою мать Раа
193,Флоу Бога а у Ховы рот кокан
194,Там хуёв столько что
195,Можно взорвать с белком бомбы
196,В жопе проём огромный 
197,Там пасутся цыганские кони
198,Спрятался маленький тампон Оби
199,Помогите Ему очень больно
200,Зови меня Коба
201,Я вырежу всю твою шоблу уёбок
202,Зови мусоров ведь твой стиль
203,По любому хуёвый
204,Да Я пожираю хайп
205,А ты вырезай Замай
206,Я приду под ночью покровом
207,И вырежу себе куплет Оксимирона
208,Букер клёвый 
209,Ты как приманка для клёва
210,Я словлю на тебя гепатитвич
211,И дизлайкпогоны
212,Шараут Рифмы и панчи
213,Тут серьезные игры мальчик
214,Меня ненавидят в два раза больше тебя 
215,Ты понял кто тут самый хайповый А Раа
216,Это тебе за Гену блядь Гена держись
217,Нахуй Нахуй Букера
218,Нахуй Нахуй Нахуй Нахуй Яя йо Пррь
219,Мое лицо как Бульдогги Дог
220,Твое лицо как бульон с дерьмом
221,Я на районе я с косяком
222,Ты такой гомик что срал хуем
223,Ой ой ой
224,Ты щекочешь мой хуй бородой
225,Ты русский не надо заливать
226,Ты не Antihype я тут Антихач
227,Выебонишь на Карму 
228,Это крайне забавно
229,Ты выебонишь на всех
230,Но перед тем кидаешь шарауты
231,Буду медленно читать
232,Заебала тараторка под 140 
233,Это может делать даже сраный школьник
234,Ладно шучу Ты как я не можешь
235,Мой рэп по вене баяном воздух
236,Я веном будто Montana Бризи
237,Ты женственней чем Montana Mozee 
238,Purple да Егор Крид boys
239,Я Кости не по росту песик
240,Твой клик босый
241,Это бой с финальным Боссом
242,Заебал меня будто бы камни в кедах
243,MC Ты никогда им не был
244,Старик биты слушал с патефона
245,Да ты хрипишь будто батя Бролла
246,Мир против меня Я прав
247,Ты любил дрочить по углам
248,Курить шабить мастурбировать по боку
249,Панч как ура маваши в голову
250,Замай я слышу старый сраный беспонт
251,Выебонит тут на всех будто бабка у подъезда
252,Будто бабка у подъезда ебаный дедок 
253,Чтобы попасть на баттл ты у Яна просишь номерок
254,Мои строки обоссали тебя с ног до блядь
255,Выебонит тут на всех будто бабка у подъезда
256,Бабка у подъезда слышишь ебанный дедок
257,Чтобы попасть на баттл ты у Яна просишь номерок
258,Мои строки обоссали тебя с ног до головы
259,В твоей жопе не находят даже копы наркоты
260,Ты подумал что ты клёвый типа ебаный батый
261,Тебе нужен переводчик типа дораповодырь
262,Забрал тусу как Путин в нулевых
263,Говорю чисто по факту 
264,Я убиваю деда на битах
265,Ведь он переписал на меня свою хату Раа
266,Саня чё за хуйня Чё за всратый баттл
267,Я мечтал сражаться лишь с антихайпом СД Букером Галатом
268,Не к этому меня готовила жизнь это чё финал лиги инвалидов
269,Чё за бородатая хуета напротив ты похож на того кто выебал педофила
270,Но ладно я расскажу предысторию насчёт этого баттла
271,Короче было начало жаркого лета мы в шубах потели как могли
272,Сидел дома писал куплеты на баттл на вэйпвыставке с Млечным под биты
273,Знаете конец истории про вэйп баттл На меня напало млечное проклятье и я текст забыл
274,Пишет Ресторатор Братан нужен ещё баттл финал от Лёхи Медь все отказались нужно спасать его зад
275,Я взял время подумать ну такое пошёл в качалку гулять
276,Возвращаюсь сообщение от Лёхи Не хотелось бы с товарищами баттлить но не приходится выбирать
277,И удалил страницу в вк Лёха че за хуйня
278,Я ещё не согласился ты испугался уже сидел с трясущимися руками опрокинул солярки фужер и написал
279,Думаю ничего личного не надо в баттл есть вещи которые должны остаться между нами
280,Лёха не переживай у нас личного ноль это я не был кто на вписке тебя выебал в рот
281,Ты запутался в своих словах знакомых фактах иначе откуда эта тема типа Лёхе похуй нахуй
282,Вот так вот Лёха Знаешь точно выбирать не приходится
283,Ты мечешься с хуя на хуй будто матьбогородица оплодотворил бы хоть кто
284,Но я здесь значит баттлишь с богом выебу без проникновения и тебе станет больно
285,Твоей застрельщик карьеры всех нерожденных лайков тебя я сброшу с карьера гопник не Хаски лайка
286,Я тут Андрей Третий Рейх запеку твою тушку на ужин
287,Ты патриарх Алексгей но никому нахуй не нужен
288,Писал мне Предлагаю баттл образ против образа
289,Какой блять образ По образу тебе баттлить Гобозова
290,У меня образа нет но искусства перевоплощусь ради
291,А перед твоим образом мне стыдно будто я ебусь в храме
292,После прошлого баттла с СД Оксимирон назвал меня постмодернистом окей я каждый миг новый
293,Вчера дисс на Юрика завтра фит с Ховой
294,Каким образом ты меня одномерный баттлить решил
295,Скажешь Ты не мужик а я бля мужик
296,Вот уж точно сказанное тобой не вырубить топором
297,Но то что панчей в тебе нет не значит что ты Оксимирон
298,Писал мне Думаю у нас выйдет баттл о подходах к творчеству
299,Но ты походишь только на роль бухого отчима в двухцветный фильм Звягинцева где каждый в России монстр
300,Претенциозный и пошлый ты комик Михаил Задорнов
301,Твой подход к творчеству три раза хуй по десять отжиманий
302,Чтоб твою топку заткнуть из печи блять евреи оживали
303,Мой подход это провокация вот тебе все карты на стол
304,Я могу даже подъебать самого себя просто забаттлив с тобой
305,Ведь мне с тобой неприятно ты унылый не вру
306,Вот что значит принять вызов и вступить в игру
307,Посмотри в зеркало клоун ты Верка Сердючка
308,Бородатая женщина блять смехуечки поющий
309,Насмешка над юмором Лёха шлюха в мехах
310,Я закажу тебя на днюху себе плясать канкан
311,Твой смертельный номер под куполом блевать в толпу
312,Медведь на велосипеде сжимай мой хуй как руль
313,Мартышка с гранатой я распну тебя ведь ты акробат
314,Жонглируй яйцами моими плебеи цирка хотят
315,Мне одного тебя мало я в тишине проберусь и всю труппу передушу
316,Саня блять дай мне нормального соперника Хованского
317,Да не шучу Хованскому нужен шум
318,Пошумите для Хованского
319,Короче хочешь баттл пошёл нахуй так говорил Райтраун Раунд
320,Есть философский вопрос Кто же в самом деле Лёха такой
321,Тебя препарировали много но не залез под ребра никто
322,Ты вроде гопник с низов гоблин для модных певцов
323,Но адвокат всего хуевого как Дмитрий Певцов
324,И весь твой бандитский Петербург стрелять себе из письки в лицо
325,Полковник без звезд Папазогло тупой
326,Ты не служил ты прислуживал перед голодной толпой
327,Лебезил перед кентухами но никто там не бро
328,Может ты тот злобный доктор что берет мазок из хуев
329,Да ты любишь сжимать члены кумир твой ЗахерМазох
330,Саня знаешь мне кажется Лёха уебок со Слова
331,Не разобрать шутки за его очками никак
332,Днём безопасно высирает про говно и жопу а ночью превращается в текстовика
333,И орёт Нахуй версус там нужно хуево шутить они не понимают правильный смысл схемы и рифмы
334,Я их раскрою там всё неправда не тру а шоу
335,Пойду туда всем докажу буду шутить про хуй и жопу
